SponsorApplicant,ProductNo,Form,Dosage,ProductMktStatus,TECode,ReferenceDrug,drugname,activeingred
SANOFI AVENTIS US                                 ,6,INJECTABLE;SUBCUTANEOUS,90MG/0.6ML (150MG/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,LOVENOX (PRESERVATIVE FREE),ENOXAPARIN SODIUM
SANOFI AVENTIS US                                 ,7,INJECTABLE;SUBCUTANEOUS,120MG/0.8ML (150MG/ML),1,AP,0,LOVENOX (PRESERVATIVE FREE),ENOXAPARIN SODIUM
SANOFI AVENTIS US                                 ,8,INJECTABLE;SUBCUTANEOUS,150MG/ML (150MG/ML),1,AP,0,LOVENOX (PRESERVATIVE FREE),ENOXAPARIN SODIUM
SANOFI AVENTIS US                                 ,9,"INJECTABLE;INTRAVENOUS, SUBCUTANEOUS",300MG/3ML (100MG/ML),1,AB,0,LOVENOX,ENOXAPARIN SODIUM
SANOFI AVENTIS US                                 ,4,"FILM, EXTENDED RELEASE;TRANSDERMAL",21MG/24HR,2,,1,NICODERM CQ,NICOTINE
SANOFI AVENTIS US                                 ,5,"FILM, EXTENDED RELEASE;TRANSDERMAL",14MG/24HR,2,,1,NICODERM CQ,NICOTINE
SANOFI AVENTIS US                                 ,6,"FILM, EXTENDED RELEASE;TRANSDERMAL",7MG/24HR,2,,1,NICODERM CQ,NICOTINE
US ARMY                                           ,1,INJECTABLE;INJECTION,250MG/ML,3,,0,SODIUM THIOSULFATE,SODIUM THIOSULFATE
GENENTECH                                         ,1,INJECTABLE;INJECTION,5MG/VIAL,1,BX,0,NUTROPIN,SOMATROPIN RECOMBINANT
GENENTECH                                         ,2,INJECTABLE;INJECTION,10MG/VIAL,1,,1,NUTROPIN,SOMATROPIN RECOMBINANT
COVIS PHARMA SARL                                 ,1,TABLET;ORAL,50MG,3,,0,NILANDRON,NILUTAMIDE
COVIS PHARMA SARL                                 ,2,TABLET;ORAL,150MG,1,,1,NILANDRON,NILUTAMIDE
FRESENIUS MEDCL                                   ,1,SOLUTION;INTRAPERITONEAL,18.4MG/100ML;1.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,1,AT,0,DELFLEX W/ DEXTROSE 1.5% LOW MAGNESIUM LOW CALCIUM IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
FRESENIUS MEDCL                                   ,2,SOLUTION;INTRAPERITONEAL,18.4MG/100ML;2.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,1,AT,0,DELFLEX W/ DEXTROSE 2.5% LOW MAGNESIUM LOW CALCIUM IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
FRESENIUS MEDCL                                   ,3,SOLUTION;INTRAPERITONEAL,18.4MG/100ML;4.25GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,1,AT,0,DELFLEX W/ DEXTROSE 4.25% LOW MAGNESIUM LOW CALCIUM IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
BAXTER HLTHCARE                                   ,1,INJECTABLE;INJECTION,5.5%;102MG/100ML;522MG/100ML;431MG/100ML;224MG/100ML,1,,0,TRAVASOL 5.5% SULFITE FREE W/ ELECTROLYTES IN PLASTIC CONTAINER,"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE"
BAXTER HLTHCARE                                   ,2,INJECTABLE;INJECTION,8.5%;102MG/100ML;522MG/100ML;594MG/100ML;154MG/100ML,1,,0,TRAVASOL 8.5% SULFITE FREE W/ ELECTROLYTES IN PLASTIC CONTAINER,"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE"
HOSPIRA                                           ,1,INJECTABLE;INJECTION,"N/A,80MG/VIAL;N/A,0.02MG/VIAL;N/A,0.001MG/VIAL;400 IU/10ML,N/A;N/A,0.14MG/VIAL;N/A,17MG/VIAL;N/A,5MG/VIAL;0.2MG/10ML,N/A;N/A,1MG/VIAL;N/A,1.4MG/VIAL;N/A,1.2MG/VIAL;EQ 2,300 UNITS BASE/10ML,N/A;7 IU/10ML,N/A",3,,0,VITAPED,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PANTOTHENIC ACID; PHYTONADIONE; PYRIDOXINE; RIBOFLAVIN; THIAMINE; VITAMIN A PALMITATE; VITAMIN E
BAXTER HLTHCARE                                   ,1,INJECTABLE;INJECTION,3.5%;51MG/100ML;131MG/100ML;218MG/100ML;35MG/100ML,1,,0,TRAVASOL 3.5% SULFITE FREE W/ ELECTROLYTES IN PLASTIC CONTAINER,"AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE"
BAXTER HLTHCARE                                   ,1,INJECTABLE;INJECTION,900MG/100ML,1,AP,1,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SODIUM CHLORIDE
BAXTER HLTHCARE                                   ,2,INJECTABLE;INJECTION,9MG/ML,1,AP,0,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SODIUM CHLORIDE
BAXTER HLTHCARE                                   ,1,INJECTABLE;INJECTION,5GM/100ML,1,AP,1,DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE
BAXTER HLTHCARE                                   ,2,INJECTABLE;INJECTION,50MG/ML,1,AP,1,DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE
MERCK                                             ,1,TABLET;ORAL,5MG,1,AB,1,PROSCAR,FINASTERIDE
HOSPIRA                                           ,1,INJECTABLE;INJECTION,0.3,3,,0,LIPOSYN III 30%,SOYBEAN OIL
SIGMA TAU                                         ,1,INJECTABLE;INJECTION,200MG/ML,1,AP,1,CARNITOR,LEVOCARNITINE
BAXTER HLTHCARE                                   ,1,SOLUTION;INTRAPERITONEAL,18.3MG/100ML;1.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,1,AT,0,DIANEAL LOW CALCIUM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
BAXTER HLTHCARE                                   ,2,SOLUTION;INTRAPERITONEAL,18.3MG/100ML;2.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,1,,0,DIANEAL LOW CALCIUM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
BAXTER HLTHCARE                                   ,3,SOLUTION;INTRAPERITONEAL,18.3MG/100ML;3.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,1,,0,DIANEAL LOW CALCIUM W/ DEXTROSE 3.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
BAXTER HLTHCARE                                   ,4,SOLUTION;INTRAPERITONEAL,18.3MG/100ML;4.25GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML,1,,0,DIANEAL LOW CALCIUM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
SYMPLMED PHARMS LLC                               ,1,TABLET;ORAL,2MG,1,AB,0,ACEON,PERINDOPRIL ERBUMINE
SYMPLMED PHARMS LLC                               ,2,TABLET;ORAL,4MG,1,AB,0,ACEON,PERINDOPRIL ERBUMINE
SYMPLMED PHARMS LLC                               ,3,TABLET;ORAL,8MG,1,AB,1,ACEON,PERINDOPRIL ERBUMINE
TEVA WOMENS                                       ,1,TABLET;ORAL,5MG;6.25MG,1,AB,0,ZIAC,BISOPROLOL FUMARATE; HYDROCHLOROTHIAZIDE
TEVA WOMENS                                       ,2,TABLET;ORAL,10MG;6.25MG,1,AB,1,ZIAC,BISOPROLOL FUMARATE; HYDROCHLOROTHIAZIDE
TEVA WOMENS                                       ,3,TABLET;ORAL,2.5MG;6.25MG,1,AB,0,ZIAC,BISOPROLOL FUMARATE; HYDROCHLOROTHIAZIDE
MEDA PHARMS                                       ,1,TABLET;ORAL,400MG,1,AB,0,FELBATOL,FELBAMATE
MEDA PHARMS                                       ,2,TABLET;ORAL,600MG,1,AB,1,FELBATOL,FELBAMATE
MEDA PHARMS                                       ,3,SUSPENSION;ORAL,600MG/5ML,1,AB,1,FELBATOL,FELBAMATE
ALCON                                             ,1,SOLUTION/DROPS;OPHTHALMIC,EQ 0.1% BASE,1,,1,ALOMIDE,LODOXAMIDE TROMETHAMINE
NOVARTIS                                          ,1,CREAM;TOPICAL,0.01,3,,0,LAMISIL,TERBINAFINE HYDROCHLORIDE
JANSSEN PHARMS                                    ,1,CAPSULE;ORAL,100MG,1,,1,ELMIRON,PENTOSAN POLYSULFATE SODIUM
CEPHALON                                          ,1,TROCHE/LOZENGE;ORAL,EQ 0.2MG BASE,3,,0,FENTANYL,FENTANYL CITRATE
CEPHALON                                          ,2,TROCHE/LOZENGE;ORAL,EQ 0.3MG BASE,3,,0,FENTANYL,FENTANYL CITRATE
CEPHALON                                          ,3,TROCHE/LOZENGE;ORAL,EQ 0.4MG BASE,3,,0,FENTANYL,FENTANYL CITRATE
CEPHALON                                          ,7,TROCHE/LOZENGE;ORAL,EQ 0.1MG BASE,3,,0,FENTANYL,FENTANYL CITRATE
BAYER HLTHCARE                                    ,1,"TABLET, EXTENDED RELEASE;ORAL",30MG,1,AB1,0,ADALAT CC,NIFEDIPINE
BAYER HLTHCARE                                    ,2,"TABLET, EXTENDED RELEASE;ORAL",60MG,1,AB1,1,ADALAT CC,NIFEDIPINE
BAYER HLTHCARE                                    ,3,"TABLET, EXTENDED RELEASE;ORAL",90MG,1,AB1,1,ADALAT CC,NIFEDIPINE
ROCHE                                             ,1,TABLET;ORAL,0.375MG,3,,0,HIVID,ZALCITABINE
ROCHE                                             ,2,TABLET;ORAL,0.75MG,3,,0,HIVID,ZALCITABINE
ABBVIE                                            ,1,INJECTABLE;INJECTION,1.5MG/ML,3,,0,NALBUPHINE HYDROCHLORIDE,NALBUPHINE HYDROCHLORIDE
HOSPIRA                                           ,1,INJECTABLE;INJECTION,EQ 200MG BASE/100ML,1,AP,1,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,DOBUTAMINE HYDROCHLORIDE
HOSPIRA                                           ,2,INJECTABLE;INJECTION,EQ 100MG BASE/100ML,1,AP,1,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,DOBUTAMINE HYDROCHLORIDE
HOSPIRA                                           ,3,INJECTABLE;INJECTION,EQ 50MG BASE/100ML,1,AP,1,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,DOBUTAMINE HYDROCHLORIDE
HOSPIRA                                           ,6,INJECTABLE;INJECTION,EQ 400MG BASE/100ML,1,AP,1,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,DOBUTAMINE HYDROCHLORIDE
BAYER                                             ,2,TABLET;ORAL,EQ 200MG BASE,2,,1,ALEVE,NAPROXEN SODIUM
TARO PHARMS NORTH                                 ,1,CREAM;TOPICAL,0.0005,3,,0,PSORCON,DIFLORASONE DIACETATE
GLAXOSMITHKLINE                                   ,1,INJECTABLE;INJECTION,EQ 50MG BASE/VIAL,1,AP,1,ALKERAN,MELPHALAN HYDROCHLORIDE
MEDICIS                                           ,1,GEL;VAGINAL,0.0075,1,AB,1,METROGEL-VAGINAL,METRONIDAZOLE
FOUGERA PHARMS                                    ,1,LOTION;TOPICAL,EQ 1% BASE,1,,1,OXISTAT,OXICONAZOLE NITRATE
JANSSEN PHARMS                                    ,1,TABLET;ORAL,EQ 10MG BASE,3,,0,PROPULSID,CISAPRIDE MONOHYDRATE
JANSSEN PHARMS                                    ,2,TABLET;ORAL,EQ 20MG BASE,3,,0,PROPULSID,CISAPRIDE MONOHYDRATE
PHARMACIA AND UPJOHN                              ,1,INJECTABLE;INJECTION,EQ 250MG BASE/VIAL,1,AP,1,ZINECARD,DEXRAZOXANE HYDROCHLORIDE
PHARMACIA AND UPJOHN                              ,2,INJECTABLE;INJECTION,EQ 500MG BASE/VIAL,1,AP,1,ZINECARD,DEXRAZOXANE HYDROCHLORIDE
BAUSCH AND LOMB                                   ,1,FOR SOLUTION;OPHTHALMIC,20MG/VIAL,1,,1,MIOCHOL-E,ACETYLCHOLINE CHLORIDE
ORGANON USA INC                                   ,1,INJECTABLE;INJECTION,50MG/5ML (10MG/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,ZEMURON,ROCURONIUM BROMIDE
ORGANON USA INC                                   ,2,INJECTABLE;INJECTION,10MG/ML (10MG/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,ZEMURON,ROCURONIUM BROMIDE
ORGANON USA INC                                   ,3,INJECTABLE;INJECTION,100MG/10ML (10MG/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,ZEMURON,ROCURONIUM BROMIDE
KREMERS URBAN PHARMS                              ,1,TABLET;ORAL,20MG,1,AB,1,MONOKET,ISOSORBIDE MONONITRATE
KREMERS URBAN PHARMS                              ,2,TABLET;ORAL,10MG,1,AB,0,MONOKET,ISOSORBIDE MONONITRATE
WYETH PHARMS INC                                  ,1,"CREAM;TOPICAL, VAGINAL",0.625MG/GM,1,,1,PREMARIN,"ESTROGENS, CONJUGATED"
NOVARTIS                                          ,1,SUSPENSION/DROPS;OPHTHALMIC,EQ 0.05% BASE,3,,0,LIVOSTIN,LEVOCABASTINE HYDROCHLORIDE
BAYER HLTHCARE                                    ,1,INJECTABLE;INJECTION,0.769,1,,1,ULTRAVIST 370,IOPROMIDE
BAYER HLTHCARE                                    ,2,INJECTABLE;INJECTION,0.623,1,,1,ULTRAVIST 300,IOPROMIDE
BAYER HLTHCARE                                    ,3,INJECTABLE;INJECTION,0.499,1,,1,ULTRAVIST 240,IOPROMIDE
BAYER HLTHCARE                                    ,4,INJECTABLE;INJECTION,0.312,1,,1,ULTRAVIST 150,IOPROMIDE
BAYER HLTHCARE                                    ,5,INJECTABLE;INJECTION,0.623,1,,1,ULTRAVIST 300 IN PLASTIC CONTAINER,IOPROMIDE
CLINIGEN HLTHCARE                                 ,1,INJECTABLE;INJECTION,500MG/VIAL,1,AP,1,ETHYOL,AMIFOSTINE
CLINIGEN HLTHCARE                                 ,2,INJECTABLE;INJECTION,375MG/VIAL,3,,0,ETHYOL,AMIFOSTINE
PHARMACIA AND UPJOHN                              ,1,TABLET;ORAL,1GM,1,AB,1,COLESTID,COLESTIPOL HYDROCHLORIDE
SCHERING PLOUGH                                   ,1,"TABLET, EXTENDED RELEASE;ORAL",30MG,3,,0,IMDUR,ISOSORBIDE MONONITRATE
SCHERING PLOUGH                                   ,2,"TABLET, EXTENDED RELEASE;ORAL",60MG,3,,0,IMDUR,ISOSORBIDE MONONITRATE
SCHERING PLOUGH                                   ,3,"TABLET, EXTENDED RELEASE;ORAL",120MG,3,,0,IMDUR,ISOSORBIDE MONONITRATE
ALCON                                             ,1,SOLUTION/DROPS;OPHTHALMIC,0.025%;0.3%,2,,1,NAPHCON-A,NAPHAZOLINE HYDROCHLORIDE; PHENIRAMINE MALEATE
PHARMACIA AND UPJOHN                              ,1,INJECTABLE;INJECTION,"10,000 UNITS/0.5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",3,,0,NORMIFLO,ARDEPARIN SODIUM
PHARMACIA AND UPJOHN                              ,2,INJECTABLE;INJECTION,"5,000 UNITS/0.5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",3,,0,NORMIFLO,ARDEPARIN SODIUM
BOEHRINGER INGELHEIM                              ,1,SOLUTION;INHALATION,0.0002,3,,0,ATROVENT,IPRATROPIUM BROMIDE
JANSSEN PHARMS                                    ,1,INJECTABLE;INJECTION,1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,LEUSTATIN,CLADRIBINE
COLGATE PALMOLIVE                                 ,1,PASTE;DENTAL,0.24%;0.3%,2,,1,COLGATE TOTAL,SODIUM FLUORIDE; TRICLOSAN
ACTAVIS LABS UT INC                               ,1,CAPSULE;ORAL,325MG;50MG;40MG;30MG,1,AB,1,FIORICET W/ CODEINE,ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE
ASTRAZENECA                                       ,1,"AEROSOL, METERED;NASAL",0.032MG/INH,3,,0,RHINOCORT,BUDESONIDE
NOVARTIS                                          ,1,"TABLET, EXTENDED RELEASE;ORAL",100MG,1,AB,0,TEGRETOL-XR,CARBAMAZEPINE
NOVARTIS                                          ,2,"TABLET, EXTENDED RELEASE;ORAL",200MG,1,AB,0,TEGRETOL-XR,CARBAMAZEPINE
NOVARTIS                                          ,3,"TABLET, EXTENDED RELEASE;ORAL",400MG,1,AB,1,TEGRETOL-XR,CARBAMAZEPINE
PFIZER PHARMS                                     ,1,CAPSULE;ORAL,100MG,1,AB,0,NEURONTIN,GABAPENTIN
PFIZER PHARMS                                     ,2,CAPSULE;ORAL,300MG,1,AB,0,NEURONTIN,GABAPENTIN
PFIZER PHARMS                                     ,3,CAPSULE;ORAL,400MG,1,AB,1,NEURONTIN,GABAPENTIN
GLAXOSMITHKLINE                                   ,1,"AEROSOL, METERED;INHALATION",EQ 0.021MG BASE/INH,3,,0,SEREVENT,SALMETEROL XINAFOATE
EISAI INC                                         ,1,TABLET;ORAL,5MG,1,AB,0,SALAGEN,PILOCARPINE HYDROCHLORIDE
EISAI INC                                         ,2,TABLET;ORAL,7.5MG,1,AB,1,SALAGEN,PILOCARPINE HYDROCHLORIDE
MEDTECH PRODUCTS                                  ,1,TABLET;ORAL,100MG,3,,0,TAGAMET HB,CIMETIDINE
MEDTECH PRODUCTS                                  ,2,TABLET;ORAL,200MG,2,,1,TAGAMET HB,CIMETIDINE
ROCHE                                             ,1,INJECTABLE;INJECTION,EQ 3MG BASE/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,KYTRIL,GRANISETRON HYDROCHLORIDE
ROCHE                                             ,2,INJECTABLE;INJECTION,EQ 4MG BASE/4ML (EQ 1MG BASE/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,KYTRIL,GRANISETRON HYDROCHLORIDE
ROCHE                                             ,3,INJECTABLE;INJECTION,EQ 0.1MG BASE/ML (EQ 0.1MG BASE/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,KYTRIL,GRANISETRON HYDROCHLORIDE
ROCHE                                             ,4,INJECTABLE;INJECTION,EQ 1MG BASE/ML (EQ 1MG BASE/ML) **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,KYTRIL,GRANISETRON HYDROCHLORIDE
SCHERING                                          ,1,TABLET;ORAL,3MG,3,,0,RENORMAX,SPIRAPRIL HYDROCHLORIDE
SCHERING                                          ,2,TABLET;ORAL,6MG,3,,0,RENORMAX,SPIRAPRIL HYDROCHLORIDE
SCHERING                                          ,3,TABLET;ORAL,12MG,3,,0,RENORMAX,SPIRAPRIL HYDROCHLORIDE
SCHERING                                          ,4,TABLET;ORAL,24MG,3,,0,RENORMAX,SPIRAPRIL HYDROCHLORIDE
GLAXOSMITHKLINE LLC                               ,1,TABLET;ORAL,100MG,1,AB,0,LAMICTAL,LAMOTRIGINE
GLAXOSMITHKLINE LLC                               ,2,TABLET;ORAL,150MG,1,AB,0,LAMICTAL,LAMOTRIGINE
GLAXOSMITHKLINE LLC                               ,3,TABLET;ORAL,200MG,1,AB,0,LAMICTAL,LAMOTRIGINE
GLAXOSMITHKLINE LLC                               ,4,TABLET;ORAL,250MG,3,,0,LAMICTAL,LAMOTRIGINE
GLAXOSMITHKLINE LLC                               ,5,TABLET;ORAL,25MG,1,AB,1,LAMICTAL,LAMOTRIGINE
GLAXOSMITHKLINE LLC                               ,6,TABLET;ORAL,50MG,3,,0,LAMICTAL,LAMOTRIGINE
SOLVAY                                            ,1,TABLET;ORAL,25MG,3,,0,LUVOX,FLUVOXAMINE MALEATE
SOLVAY                                            ,2,TABLET;ORAL,50MG,3,,0,LUVOX,FLUVOXAMINE MALEATE
SOLVAY                                            ,3,TABLET;ORAL,100MG,3,,0,LUVOX,FLUVOXAMINE MALEATE
SOLVAY                                            ,4,TABLET;ORAL,150MG,3,,0,LUVOX,FLUVOXAMINE MALEATE
PHARMACIA AND UPJOHN                              ,1,INJECTABLE;INJECTION,150MG/ML,1,AB,1,DEPO-PROVERA,MEDROXYPROGESTERONE ACETATE
FRESENIUS                                         ,1,INJECTABLE;INJECTION,0.2,1,AP,1,INTRALIPID 20%,SOYBEAN OIL
MERCK SHARP DOHME                                 ,1,INJECTABLE;INJECTION,0.4MG/ML,3,,0,PEPCID PRESERVATIVE FREE IN PLASTIC CONTAINER,FAMOTIDINE
GLAXOSMITHKLINE                                   ,1,TABLET;ORAL,250MG,3,,0,HALFAN,HALOFANTRINE HYDROCHLORIDE
GLAXO GRP LTD                                     ,1,"TABLET, EFFERVESCENT;ORAL",EQ 150MG BASE,3,,0,ZANTAC 150,RANITIDINE HYDROCHLORIDE
GLAXO GRP LTD                                     ,2,"GRANULE, EFFERVESCENT;ORAL",EQ 150MG BASE/PACKET,3,,0,ZANTAC 150,RANITIDINE HYDROCHLORIDE
GLAXO GRP LTD                                     ,3,"TABLET, EFFERVESCENT;ORAL",EQ 25MG BASE,3,,0,ZANTAC 25,RANITIDINE HYDROCHLORIDE
NOVARTIS                                          ,1,"TABLET, EXTENDED RELEASE;ORAL",100MG,1,AB,1,VOLTAREN-XR,DICLOFENAC SODIUM
BAXTER HLTHCARE                                   ,1,INJECTABLE;INJECTION,EQ 50MG BASE/100ML,1,AP,1,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,DOBUTAMINE HYDROCHLORIDE
BAXTER HLTHCARE                                   ,3,INJECTABLE;INJECTION,EQ 100MG BASE/100ML,1,AP,1,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,DOBUTAMINE HYDROCHLORIDE
BAXTER HLTHCARE                                   ,4,INJECTABLE;INJECTION,EQ 200MG BASE/100ML,1,AP,1,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,DOBUTAMINE HYDROCHLORIDE
BAXTER HLTHCARE                                   ,5,INJECTABLE;INJECTION,EQ 400MG BASE/100ML,1,AP,1,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5% IN PLASTIC CONTAINER,DOBUTAMINE HYDROCHLORIDE
LANTHEUS MEDCL                                    ,1,INJECTABLE;INJECTION,N/A,1,,0,NEUROLITE,TECHNETIUM TC-99M BICISATE KIT
ALCON                                             ,1,SOLUTION/DROPS;OPHTHALMIC,EQ 0.5% BASE,1,AT,1,IOPIDINE,APRACLONIDINE HYDROCHLORIDE
GLAXOSMITHKLINE LLC                               ,1,TABLET;ORAL,250MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,3,,0,MEPRON,ATOVAQUONE
NOVARTIS                                          ,1,CAPSULE;ORAL,EQ 20MG BASE,1,AB,0,LESCOL,FLUVASTATIN SODIUM
NOVARTIS                                          ,2,CAPSULE;ORAL,EQ 40MG BASE,1,AB,1,LESCOL,FLUVASTATIN SODIUM
HQ SPCLT PHARMA                                   ,1,INJECTABLE;INJECTION,6MG/ML,1,AP,0,TAXOL,PACLITAXEL
ABBVIE ENDOCRINE INC                              ,2,INJECTABLE;INJECTION,7.5MG/VIAL,1,,1,LUPRON DEPOT-PED,LEUPROLIDE ACETATE
ABBVIE ENDOCRINE INC                              ,3,INJECTABLE;INJECTION,"3.75MG/VIAL,7.5MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",3,,0,LUPRON DEPOT-PED,LEUPROLIDE ACETATE
ABBVIE ENDOCRINE INC                              ,4,INJECTABLE;INJECTION,"7.5MG/VIAL,7.5MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**",3,,0,LUPRON DEPOT-PED,LEUPROLIDE ACETATE
ABBVIE ENDOCRINE INC                              ,5,INJECTABLE;INJECTION,11.25MG/VIAL,1,,1,LUPRON DEPOT-PED,LEUPROLIDE ACETATE
ABBVIE ENDOCRINE INC                              ,6,INJECTABLE;INJECTION,15MG/VIAL,1,,1,LUPRON DEPOT-PED,LEUPROLIDE ACETATE
ABBVIE ENDOCRINE INC                              ,7,INJECTABLE;INJECTION,11.25MG/VIAL,1,,1,LUPRON DEPOT-PED,LEUPROLIDE ACETATE
ABBVIE ENDOCRINE INC                              ,8,INJECTABLE;INJECTION,30MG/VIAL,1,,1,LUPRON DEPOT-PED,LEUPROLIDE ACETATE
BRISTOL MYERS SQUIBB                              ,1,SUSPENSION;ORAL,40MG/ML,1,AB,1,MEGACE,MEGESTROL ACETATE
PFIZER                                            ,2,TABLET;ORAL,100MG,2,,0,JUNIOR STRENGTH ADVIL,IBUPROFEN
HOSPIRA                                           ,1,INJECTABLE;INJECTION,EQ 50MG BASE/100ML,3,,0,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5%,DOBUTAMINE HYDROCHLORIDE
HOSPIRA                                           ,2,INJECTABLE;INJECTION,EQ 100MG BASE/100ML,3,,0,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5%,DOBUTAMINE HYDROCHLORIDE
HOSPIRA                                           ,3,INJECTABLE;INJECTION,EQ 200MG BASE/100ML,3,,0,DOBUTAMINE HYDROCHLORIDE IN DEXTROSE 5%,DOBUTAMINE HYDROCHLORIDE
JANSSEN PHARMS                                    ,1,TABLET;ORAL,1MG,1,AB,1,RISPERDAL,RISPERIDONE
JANSSEN PHARMS                                    ,2,TABLET;ORAL,2MG,1,AB,0,RISPERDAL,RISPERIDONE
JANSSEN PHARMS                                    ,3,TABLET;ORAL,3MG,1,AB,0,RISPERDAL,RISPERIDONE
JANSSEN PHARMS                                    ,4,TABLET;ORAL,4MG,1,AB,0,RISPERDAL,RISPERIDONE
JANSSEN PHARMS                                    ,5,TABLET;ORAL,5MG,3,,0,RISPERDAL,RISPERIDONE
JANSSEN PHARMS                                    ,7,TABLET;ORAL,0.5MG,1,AB,0,RISPERDAL,RISPERIDONE
JANSSEN PHARMS                                    ,8,TABLET;ORAL,0.25MG,1,AB,0,RISPERDAL,RISPERIDONE
LEO PHARMA AS                                     ,1,OINTMENT;TOPICAL,0.00005,3,,0,DOVONEX,CALCIPOTRIENE
VALEANT BERMUDA                                   ,1,CREAM;TOPICAL,0.001,1,AB,1,DERMATOP E EMOLLIENT,PREDNICARBATE
PHARMACIA AND UPJOHN                              ,1,INJECTABLE;INJECTION,0.2MG/VIAL,1,,0,GENOTROPIN PRESERVATIVE FREE,SOMATROPIN RECOMBINANT
PHARMACIA AND UPJOHN                              ,2,INJECTABLE;INJECTION,0.4MG/VIAL,1,,0,GENOTROPIN PRESERVATIVE FREE,SOMATROPIN RECOMBINANT
